table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,accuracy,0.306,0.266,0.346,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,hysteresis_gap,0.0007108200117080981,-0.009400686296139351,0.010678343622958344,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,entropy,0.3768993444351434,0.33932295158562936,0.41449696941757697,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,max_probability,0.8520762106424872,0.8357188015020423,0.8685373004365186,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,restoration_ratio,0.9989217116403636,0.9838887820100561,1.014573216006381,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,clean_context_like_strict,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,clean_context_like_main,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,clean_context_like_loose,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,p_wrong,0.7659451326041742,0.7291283916211577,0.8019014365934422,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,p_correct,0.08573451797585571,0.0626320401588956,0.11029889428062153,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,accuracy,0.084,0.06,0.108,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,hysteresis_gap,0.6751998304834453,0.6341971914935977,0.7154770909435547,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,entropy,0.04929703646046345,0.03533990427068322,0.0648914458436558,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,max_probability,0.98313772392197,0.9766843389655485,0.9889278136446681,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R6 Self-verification,restoration_ratio,-0.024253827476386092,-0.0374716320738763,-0.012131070238103073,500,10000,12345,True,
