model_key,model_short_name,dataset,condition,condition_label,level,category,is_main_condition,evaluated_n,clean_p_wrong,ordinary_reset_p_wrong,intervention_p_wrong,clean_p_correct,ordinary_reset_p_correct,intervention_p_correct,ordinary_reset_hysteresis_gap,intervention_hysteresis_gap,gap_reduction,restoration_ratio,restoration_ratio_informative,clean_accuracy,ordinary_reset_accuracy,accuracy,wrong_follow_rate,lock_in_rate,entropy,max_probability,clean_entropy,clean_max_probability,ordinary_reset_entropy,ordinary_reset_max_probability,clean_context_damage_p_correct,clean_context_damage_accuracy,clean_correct_to_history_wrong_rate,clean_correct_to_intervention_wrong_rate,contamination_reduction,repair_classification,mro_success
qwen25_14b,Qwen2.5-14B,mmlu_pro,evidence_for_each_option_then_answer,R6 Evidence comparison label,R6,verification,False,500,0.08411410963399409,0.3562200871405451,0.32814719024692407,0.4579861958329038,0.35949037997262107,0.3552555231440382,0.272105977506551,0.24403308061293,0.028072896893621024,0.10316898272822823,True,0.456,0.36,0.354,0.332,0.332,0.06354166450035946,0.97383782650473,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.1027306726888656,-0.10200000000000004,0.2149122807017544,0.19298245614035087,0.02192982456140352,weak_wrong_suppression,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,source_skepticism_reset,R2 Source skepticism reset,R2,source_skepticism,False,500,0.08411410963399409,0.3562200871405451,0.2893261023210235,0.4579861958329038,0.35949037997262107,0.36567613082935496,0.272105977506551,0.20521199268702944,0.06689398481952158,0.2458379835404795,True,0.456,0.36,0.364,0.29,0.29,0.09478187692860096,0.9626690100995409,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.09231006500354882,-0.09200000000000003,0.2149122807017544,0.15350877192982457,0.06140350877192982,flattening_or_suppression,False
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,ordinary_strong_reset,R0 Ordinary reset,R0,ordinary_reset,True,500,0.0760056316692018,0.11270330468859475,0.11270330468859475,0.7638977684016972,0.7371876105987033,0.7371876105987033,0.03669767301939296,0.03669767301939296,0.0,0.0,False,0.762,0.738,0.738,0.114,0.11,0.01469712542616789,0.9943077718682377,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.026710157802993906,-0.02400000000000002,0.04461942257217848,0.04461942257217848,0.0,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,explicit_user_retraction,R1 User retraction,R1,user_retraction,True,500,0.0760056316692018,0.11270330468859475,0.07985002246231462,0.7638977684016972,0.7371876105987033,0.7533501242305451,0.03669767301939296,0.0038443907931128285,0.03285328222628013,0.8952415650147285,False,0.762,0.738,0.754,0.082,0.08,0.0271945136540282,0.9886664288510563,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.01054764417115206,-0.008000000000000007,0.04461942257217848,0.026246719160104987,0.01837270341207349,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,system_level_reset,R2 System reset,R2,system_reset,True,500,0.0760056316692018,0.11270330468859475,0.10718745003892456,0.7638977684016972,0.7371876105987033,0.732671974182877,0.03669767301939296,0.031181818369722766,0.005515854649670193,0.15030529719841715,False,0.762,0.738,0.732,0.108,0.106,0.031035814515622075,0.9868279011327392,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.031225794218820213,-0.030000000000000027,0.04461942257217848,0.04199475065616798,0.0026246719160104987,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,fresh_context_deletion,R3 Fresh context deletion,R3,context_removal,True,500,0.0760056316692018,0.11270330468859475,0.0760056316692018,0.7638977684016972,0.7371876105987033,0.7638977684016972,0.03669767301939296,0.0,0.03669767301939296,1.0,False,0.762,0.738,0.762,0.078,0.078,0.054430648861653295,0.9786185337915968,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,0.0,0.0,0.04461942257217848,0.0,0.04461942257217848,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,context_truncation,R3 Context truncation,R3,context_removal,True,500,0.0760056316692018,0.11270330468859475,0.06994125393420762,0.7638977684016972,0.7371876105987033,0.7870877189637346,0.03669767301939296,-0.006064377734994172,0.04276205075438713,1.16525237804014,False,0.762,0.738,0.79,0.07,0.07,0.05684197443119552,0.977459363530168,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,0.02318995056203743,0.028000000000000025,0.04461942257217848,0.0,0.04461942257217848,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,neutral_summary_replacement,R4 Neutral summary,R4,neutral_summary,True,500,0.0760056316692018,0.11270330468859475,0.07523369085121435,0.7638977684016972,0.7371876105987033,0.7360940633294338,0.03669767301939296,-0.0007719408179874404,0.0374696138373804,1.0210351434975047,False,0.762,0.738,0.738,0.076,0.076,0.05836807876132893,0.9755278851075182,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.027803705072263374,-0.02400000000000002,0.04461942257217848,0.007874015748031496,0.03674540682414698,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,factual_state_reconstruction,R5 Factual-state reconstruction,R5,state_reconstruction,True,500,0.0760056316692018,0.11270330468859475,0.059502780961915504,0.7638977684016972,0.7371876105987033,0.8178031258638027,0.03669767301939296,-0.01650285070728629,0.05320052372667925,1.4496974698795024,False,0.762,0.738,0.822,0.058,0.058,0.05842720864454186,0.9752653706884041,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,0.05390535746210545,0.05999999999999994,0.04461942257217848,0.0,0.04461942257217848,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,self_verification_final_label,R6 Self-verification label,R6,verification,True,500,0.0760056316692018,0.11270330468859475,0.10275706214919884,0.7638977684016972,0.7371876105987033,0.7406183367914576,0.03669767301939296,0.02675143047999705,0.00994624253939591,0.2710319679980744,False,0.762,0.738,0.738,0.106,0.106,0.0282326259355341,0.9886378843445223,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.023279431610239598,-0.02400000000000002,0.04461942257217848,0.04199475065616798,0.0026246719160104987,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,evidence_for_each_option_then_answer,R6 Evidence comparison label,R6,verification,False,500,0.0760056316692018,0.11270330468859475,0.09638792033847915,0.7638977684016972,0.7371876105987033,0.7341808218683759,0.03669767301939296,0.020382288669277354,0.016315384350115605,0.44458907085181415,False,0.762,0.738,0.734,0.098,0.096,0.030879179837933375,0.9873396581036233,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.029716946533321353,-0.028000000000000025,0.04461942257217848,0.03937007874015748,0.005249343832020997,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,source_skepticism_reset,R2 Source skepticism reset,R2,source_skepticism,False,500,0.0760056316692018,0.11270330468859475,0.08310710549681494,0.7638977684016972,0.7371876105987033,0.7563090818772228,0.03669767301939296,0.007101473827613142,0.029596199191779818,0.8064870809694022,False,0.762,0.738,0.752,0.086,0.084,0.03874611452430739,0.9838586830113287,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,-0.0075886865244744195,-0.010000000000000009,0.04461942257217848,0.031496062992125984,0.013123359580052493,restored_clean_context_like,True
