path_variant,model_key,model,dataset,pressure_type,mean_alpha,median_alpha,fraction_alpha_le_050,fraction_alpha_eq_1,clean_like_rate,wrong_follow_rate,mean_p_wrong
kl_projection_tau_005,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.51274,0.61,0.394,0.0,1.0,0.168,0.19136855543674727
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.33476,0.07,0.596,0.0,1.0,0.158,0.15694889980411192
kl_projection_tau_010,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.45672,0.54,0.454,0.0,1.0,0.17,0.21050685054986798
logit_linear,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.38351999999999997,0.21,0.564,0.006,1.0,0.162,0.16081438194785438
logit_linear,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.52728,0.63,0.376,0.006,1.0,0.162,0.18163668556445034
prob_linear,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.3883,0.055,0.606,0.006,1.0,0.162,0.16066575100165992
prob_linear,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.64662,0.95,0.332,0.006,1.0,0.162,0.18731465138769254
geometric_prob,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5255599999999999,0.71,0.402,0.014,1.0,0.084,0.07748419156449154
geometric_prob,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5500400000000001,0.725,0.372,0.014,1.0,0.084,0.09078274113430843
kl_projection_tau_005,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5388799999999999,0.76,0.394,0.0,1.0,0.078,0.07561763042319566
kl_projection_tau_005,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5575999999999999,0.75,0.362,0.0,1.0,0.086,0.09316190044177881
kl_projection_tau_010,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5009800000000001,0.69,0.412,0.0,1.0,0.078,0.07294573627976438
kl_projection_tau_010,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5194,0.675,0.396,0.0,1.0,0.09,0.10225441485773791
logit_linear,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5255799999999999,0.71,0.402,0.014,1.0,0.084,0.07748434651452477
logit_linear,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5500200000000001,0.725,0.372,0.014,1.0,0.084,0.09078610891338748
prob_linear,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.47702,0.43,0.52,0.008,1.0,0.084,0.07825027644752484
prob_linear,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.54372,0.92,0.444,0.01,1.0,0.084,0.09500803362692815
geometric_prob,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.27534000000000003,0.0,0.682,0.014,1.0,0.102,0.09627258293239546
geometric_prob,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27191999999999994,0.0,0.698,0.016,1.0,0.102,0.09792954498510689
kl_projection_tau_005,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.27938,0.0,0.674,0.0,1.0,0.098,0.09510641710488094
kl_projection_tau_005,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27727999999999997,0.0,0.688,0.0,1.0,0.1,0.09699621834344635
kl_projection_tau_010,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.26139999999999997,0.0,0.686,0.0,1.0,0.1,0.0941229951281345
kl_projection_tau_010,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.25745999999999997,0.0,0.702,0.0,1.0,0.1,0.0977714634012535
logit_linear,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.27536,0.0,0.68,0.014,1.0,0.102,0.09627258293344265
logit_linear,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27191999999999994,0.0,0.698,0.016,1.0,0.102,0.0979295449849944
prob_linear,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.26912,0.0,0.73,0.006,1.0,0.102,0.09594821009125894
prob_linear,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27665999999999996,0.0,0.724,0.006,1.0,0.102,0.09844207738751644
