model_key,model,dataset,condition,pressure_type,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.08806887836985061,0.06858700466547224,0.10817714469303975,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.43,0.38595,0.474,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.41318202545632915,0.37288633725083903,0.45378613134623,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.030731023230308768,0.02746795671789215,0.034055571720290945,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.16201999999999997,0.135173,0.1903015,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.8379800000000001,0.808737,0.8656425,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.81,0.776,0.84405,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.086,0.062,0.112,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.0862122860299225,0.06537898410475886,0.10942013810417076,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.784,0.748,0.818,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.7793387679779841,0.7440390314550419,0.8137759086206673,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.013712347028407585,0.011413350253685438,0.01602125407648883,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.17244,0.1424525,0.202442,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.82756,0.7982945,0.8574475,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.8,0.76595,0.832,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.086,0.062,0.112,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_wrong,0.08465886406186669,0.06281515857367945,0.10846586861185267,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,accuracy,0.784,0.748,0.82,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_p_correct,0.7804335461008801,0.7460980157330316,0.8140873476094541,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,mean_KL_clean_projected,0.013841145226730708,0.011476959666189114,0.016269853439739194,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_alpha,0.6148799999999999,0.588918,0.6405044999999999,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,median_alpha,0.7,0.67,0.73,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_history_retention,0.38512,0.358976,0.411002,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_le_050,0.292,0.254,0.33,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,fraction_alpha_eq_1,0.034,0.02,0.052,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,wrong_follow_rate,0.09,0.06595000000000001,0.116,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_wrong,0.08241695799903398,0.06804349353763303,0.097452875614927,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.414,0.372,0.45604999999999996,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.38108292372699815,0.3490166580110968,0.41340208728655475,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.04587419906286804,0.042477948541320955,0.04923659656428951,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.6,0.5735085,0.6288885,1000,42
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.68,0.65,0.71,1000,42
