model_key,model,dataset,condition,pressure_type,n_items,R0_gap,ordinary_reset_wrong_follow,ordinary_reset_p_wrong,cctp_mean_alpha,cctp_median_alpha,cctp_p25_alpha,cctp_p75_alpha,mean_history_retention,fraction_alpha_0,fraction_alpha_le_025,fraction_alpha_le_050,fraction_alpha_eq_1,cctp_clean_like_rate,cctp_wrong_follow,cctp_p_wrong,cctp_accuracy,cctp_p_correct,cctp_flattening_rate,mean_KL_clean_projected,mean_entropy,mean_max_prob,implementation_guarantee_pass_rate
gemma2_9b,Gemma-2-9B,mmlu_pro,ordinary_reset,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,,,,,,,,,,0.402,0.044,0.04415932754301849,0.624,0.6238394137337414,0.016,3.3320150614763695,0.034890736473263635,0.9902911160315337,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,ordinary_reset,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,,,,,,,,,,0.376,0.258,0.26047936858508985,0.37,0.36944779581486253,0.014,3.490230802465894,0.03312953936071428,0.991011501098989,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_geometric_prob_min_alpha,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.16201999999999997,0.0,0.0,0.0,0.8379800000000001,0.796,0.8,0.81,0.0,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.0,0.013712347028407583,0.07442184975328212,0.9769613352912999,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_geometric_prob_min_alpha,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.17244,0.0,0.0,0.0,0.82756,0.782,0.788,0.8,0.0,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.0,0.013841145226730708,0.07607544420066717,0.9759659791328874,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_005,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.16934,0.0,0.0,0.0,0.83066,0.77,0.786,0.798,0.0,1.0,0.088,0.0860666511150074,0.784,0.7791697292797444,0.118,0.013219881473137482,0.08912210627833864,0.9710245590083667,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_005,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.18051999999999999,0.0,0.0,0.0,0.81948,0.758,0.77,0.788,0.0,1.0,0.086,0.08445395015664425,0.782,0.7799653937586207,0.132,0.013902391047092993,0.0919722389747351,0.9696194374083107,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_010,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.15066,0.0,0.0,0.0,0.84934,0.796,0.8,0.81,0.0,1.0,0.088,0.08559790572238128,0.784,0.7807187837392248,0.128,0.02335704872369355,0.09833563504908674,0.9670838431771158,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_010,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.15988,0.0,0.0,0.0,0.84012,0.782,0.788,0.802,0.0,1.0,0.086,0.08303614305700327,0.782,0.7821221354358869,0.142,0.024781521234560216,0.10297998220876932,0.9648689571123313,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.16201999999999997,0.0,0.0,0.0,0.8379800000000001,0.796,0.8,0.81,0.0,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.0,0.013712347028407585,0.07442184975328212,0.9769613352912999,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.17244,0.0,0.0,0.0,0.82756,0.782,0.788,0.8,0.0,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.0,0.013841145226730708,0.07607544420066717,0.9759659791328874,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_prob_linear_min_alpha,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.14983999999999997,0.0,0.0,0.0,0.8501599999999999,0.796,0.828,0.85,0.0,1.0,0.086,0.0865215662354691,0.784,0.7798171233318945,0.0,0.013983630747955009,0.07279732556534103,0.9770218423596487,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_prob_linear_min_alpha,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.16168000000000002,0.0,0.0,0.0,0.8383200000000001,0.782,0.816,0.84,0.0,1.0,0.086,0.0847706057032283,0.784,0.780817185866026,0.0,0.014364608685604288,0.07469026183724993,0.9758512034895107,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_loose,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.14745999999999998,0.0,0.0,0.0,0.85254,0.804,0.81,0.82,0.0,1.0,0.086,0.08599940914180265,0.784,0.7806338521897892,0.122,0.022192513904459952,0.07642828254934211,0.9759413654115852,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_loose,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.15747999999999998,0.0,0.0,0.0,0.8425199999999999,0.794,0.8,0.808,0.0,1.0,0.086,0.08412657359099553,0.784,0.7820075161795873,0.132,0.022072277519819376,0.07915437671566014,0.9744295989520269,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_main,correct_pressure,500,-0.010976775683543454,0.076,0.07585068860068302,0.16201999999999997,0.0,0.0,0.0,0.8379800000000001,0.796,0.8,0.81,0.0,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.0,0.013712347028407585,0.07442184975328212,0.9769613352912999,1.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_main,wrong_pressure,500,-0.028659253259286536,0.058,0.058168211024939936,0.17244,0.0,0.0,0.0,0.82756,0.782,0.788,0.8,0.0,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.0,0.013841145226730708,0.07607544420066717,0.9759659791328874,1.0
