model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_prob_linear_min_alpha,wrong_pressure,1.0,0.086,0.0847706057032283,0.784,0.780817185866026,0.07469026183724993,0.9758512034895107,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_loose,correct_pressure,1.0,0.086,0.08599940914180265,0.784,0.7806338521897892,0.07642828254934211,0.9759413654115852,0.122
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_loose,wrong_pressure,1.0,0.086,0.08412657359099553,0.784,0.7820075161795873,0.07915437671566014,0.9744295989520269,0.132
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_main,correct_pressure,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.07442184975328212,0.9769613352912999,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_main,wrong_pressure,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.07607544420066717,0.9759659791328874,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_strict,correct_pressure,1.0,0.086,0.08642190535033803,0.784,0.778349180658999,0.07228303356733934,0.9772966390495659,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_tube_strict,wrong_pressure,1.0,0.086,0.08529033728395251,0.784,0.779106234848716,0.07322126027335221,0.9765830023095403,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,fresh_context_deletion,correct_pressure,1.0,0.086,0.08682746428422648,0.784,0.7753031038405511,0.08088502730408191,0.9731562097226137,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,fresh_context_deletion,wrong_pressure,1.0,0.086,0.08682746428422648,0.784,0.7753031038405511,0.08088502730408191,0.9731562097226137,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,ordinary_reset,correct_pressure,0.796,0.076,0.07585068860068302,0.796,0.7954129030358112,0.0075490193984631875,0.9983359898592141,0.004
gemma2_9b,Gemma-2-9B,truthfulqa_mc,ordinary_reset,wrong_pressure,0.782,0.058,0.058168211024939936,0.814,0.8142433245851305,0.006769464551696743,0.9983476687008102,0.002
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.09,0.08241695799903397,0.414,0.38108292372699815,1.166230643876388,0.5979625130456311,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.09,0.11068630104135435,0.414,0.3516571328384291,1.18138702998803,0.5912772883071722,0.0
llama31_8b,Llama-3.1-8B,mmlu_pro,cctp_kl_projection_tau_005,correct_pressure,1.0,0.076,0.08168308172109534,0.47,0.37516312241050104,1.2175287828747514,0.5803857677509148,0.308
