model_key,model,dataset,condition,condition_label,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,positive_hysteresis_rate,wrong_following_rate,conditional_lock_in_rate,conditional_lock_in_n,n_items
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.16554468419833393,0.4882645895154783,0.3227199053171442,0.28413752998080527,0.35893031223270444,0.88,0.502,,0,500
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.16554468419833393,0.5144267660079842,0.34888208180965014,0.3083192875916867,0.3870407149899439,0.888,0.534,,0,500
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.16554468419833393,0.3361175148126153,0.17057283061428125,0.13407621724406135,0.2088918558773099,0.754,0.344,,0,500
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,user_pressure,User pressure,0.16554468419833393,0.6650382117604465,0.49949352756211235,0.45444442744442076,0.5399977885550301,0.91,0.672,0.7461024498886414,449,500
qwen25_7b,Qwen2.5-7B,mmlu_pro,clean_no_mention,Clean reset,0.08060551967009325,0.08523306892049626,0.004627549250403023,0.00023303629909906314,0.009685172089895932,0.524,0.092,,0,500
qwen25_7b,Qwen2.5-7B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.08060551967009325,0.0917656496730748,0.011160130002981508,-0.01052652548121177,0.033919381118819154,0.58,0.092,,0,500
qwen25_7b,Qwen2.5-7B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.08060551967009325,0.17012954143093112,0.08952402176083779,0.06597064767067753,0.11416647056395852,0.772,0.174,,0,500
qwen25_7b,Qwen2.5-7B,mmlu_pro,quoted_false_claim,Quoted false claim,0.08060551967009325,0.10398477130814328,0.023379251638050002,0.004344585378004417,0.04297121455128663,0.666,0.104,,0,500
qwen25_7b,Qwen2.5-7B,mmlu_pro,user_pressure,User pressure,0.08060551967009325,0.34254862878530273,0.26194310911520946,0.22267990759062142,0.3015193139326678,0.518,0.344,0.35390946502057613,486,500
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,clean_no_mention,Clean reset,0.09597502619342335,0.09376483124243173,-0.0022101949509915754,-0.009579399792913064,0.004646925332574145,0.39,0.094,,0,500
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.09597502619342335,0.13166962448299654,0.0356945982895732,0.013728665747000355,0.061387065229494,0.578,0.128,,0,500
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.09597502619342335,0.13881011604787716,0.04283508985445383,0.019251044812550324,0.06990936731218844,0.584,0.138,,0,500
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.09597502619342335,0.08473912235738539,-0.011235903836037956,-0.030842014524688464,0.009669639393762993,0.44,0.088,,0,500
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,user_pressure,User pressure,0.09597502619342335,0.10693740521256317,0.010962379019139818,-0.01551364655727573,0.037852225159602106,0.382,0.106,0.11373390557939914,466,500
